meteorologic_station;year_2019
Asuncion_aeropuerto;1187,500
Adrian Jara;0,000
Bahia Negra;0,000
Caazapa;1097,300
Capitan Meza;2160,200
Capitan Miranda;0,000
Concepcion;1551,900
Coronel Oviedo;1472,000
Encarnacion;1961,200
General Bruguez;1415,800
Puerto Casado;1546,400
Mariscal Estigarribia;692,900
Minga Guazu - Aerop. Guarani;1408,300
Paraguari;980,900
Pedro Juan Caballero;1662,200
Pilar;1623,800
Pozo Colorado;1446,900
Pratts Gill;0,000
Salto del Guaira;1927,900
San Estanislao;1547,700
San Juan Bautista Misiones;1591,300
San Pedro;1681,400
Villarrica;1172,100
